n_db,cv_method,measure,p,r,dbs
5,k10,w,0.1,7,breastcan:wisconsin:ionosphere:liver:hayes
5,k20,w,0.1,5,breastcan:wisconsin:ionosphere:hayes:wine
4,k10,t,0.05,2,breastcan:wisconsin:ionosphere:liver
4,k10,t,0.05,4,wisconsin:ionosphere:hayes:wine
4,k10,t,0.05,7,ionosphere:liver:hayes:wine
4,k10,t,0.05,8,breastcan:ionosphere:liver:wine
4,k2x5,t,0.05,6,ionosphere:liver:hayes:wine
4,k10,t,0.1,1,breastcan:ionosphere:liver:hayes
4,k10,t,0.1,2,breastcan:wisconsin:ionosphere:liver
4,k10,t,0.1,7,wisconsin:ionosphere:liver:hayes
4,k10,t,0.1,8,ionosphere:liver:hayes:wine
4,k20,t,0.1,5,ionosphere:liver:hayes:wine
4,k2x5,t,0.1,2,breastcan:wisconsin:ionosphere:hayes
4,k2x5,t,0.1,6,breastcan:ionosphere:liver:wine
4,k10,w,0.05,1,wisconsin:ionosphere:liver:hayes
4,k10,w,0.05,7,breastcan:ionosphere:liver:hayes
4,k10,w,0.05,8,ionosphere:sonar:liver:hayes
4,k20,w,0.05,4,breastcan:ionosphere:liver:hayes
4,k20,w,0.05,5,breastcan:wisconsin:ionosphere:liver
4,k2x5,w,0.05,0,breastcan:wisconsin:ionosphere:liver
4,k10,w,0.1,1,ionosphere:liver:hayes:wine
4,k10,w,0.1,8,breastcan:ionosphere:liver:hayes
4,k20,w,0.1,4,breastcan:ionosphere:liver:hayes
4,k20,w,0.1,7,wisconsin:ionosphere:liver:hayes
4,k2x5,w,0.1,0,breastcan:wisconsin:ionosphere:liver
4,k2x5,w,0.1,2,breastcan:wisconsin:ionosphere:hayes
3,k10,t,0.05,0,ionosphere:hayes:wine
3,k10,t,0.05,1,ionosphere:liver:hayes
3,k10,t,0.05,3,wisconsin:ionosphere:wine
3,k10,t,0.05,6,breastcan:ionosphere:hayes
3,k20,t,0.05,5,ionosphere:liver:wine
3,k2x5,t,0.05,2,wisconsin:ionosphere:hayes
3,k10,t,0.1,4,wisconsin:ionosphere:hayes
3,k10,t,0.1,6,breastcan:ionosphere:hayes
3,k10,t,0.1,9,wisconsin:ionosphere:hayes
3,k20,t,0.1,1,breastcan:ionosphere:wine
3,k20,t,0.1,4,ionosphere:liver:hayes
3,k20,t,0.1,6,breastcan:ionosphere:hayes
3,k20,t,0.1,9,breastcan:ionosphere:hayes
3,k2x5,t,0.1,1,breastcan:wisconsin:ionosphere
3,k2x5,t,0.1,5,breastcan:wisconsin:ionosphere
3,k10,w,0.05,4,wisconsin:ionosphere:hayes
3,k10,w,0.05,6,breastcan:ionosphere:hayes
3,k20,w,0.05,3,breastcan:ionosphere:liver
3,k20,w,0.05,7,wisconsin:ionosphere:liver
3,k20,w,0.05,9,breastcan:ionosphere:hayes
3,k2x5,w,0.05,2,wisconsin:ionosphere:hayes
3,k2x5,w,0.05,3,breastcan:ionosphere:wine
3,k2x5,w,0.05,6,breastcan:ionosphere:wine
3,k2x5,w,0.05,7,breastcan:wisconsin:ionosphere
3,k10,w,0.1,0,breastcan:ionosphere:hayes
3,k10,w,0.1,3,wisconsin:ionosphere:wine
3,k10,w,0.1,4,wisconsin:ionosphere:hayes
3,k10,w,0.1,6,breastcan:ionosphere:hayes
3,k2x5,w,0.1,1,breastcan:wisconsin:ionosphere
3,k2x5,w,0.1,3,breastcan:ionosphere:wine
3,k2x5,w,0.1,6,ionosphere:liver:wine
