n_db,cv_method,measure,p,r,dbs
7,k10,w,0.05,4,wisconsin:balance:heart:liver:german:wine:diabetes
7,k20,w,0.05,1,breastcan:balance:heart:liver:german:wine:diabetes
6,k10,w,0.05,0,balance:heart:liver:german:diabetes:yeast3
6,k10,w,0.05,1,wisconsin:balance:heart:liver:wine:diabetes
6,k10,w,0.05,2,balance:heart:liver:german:wine:diabetes
6,k10,w,0.05,7,balance:heart:liver:german:wine:diabetes
6,k10,w,0.05,9,balance:heart:liver:german:wine:diabetes
6,k20,w,0.05,3,balance:heart:liver:german:wine:diabetes
6,k20,w,0.05,4,balance:heart:liver:german:wine:diabetes
6,k20,w,0.05,5,breastcan:balance:heart:liver:german:wine
6,k20,w,0.05,6,balance:heart:liver:german:wine:diabetes
6,k20,w,0.05,7,balance:heart:liver:german:wine:diabetes
6,k20,w,0.05,9,balance:heart:liver:german:wine:diabetes
6,k2x5,w,0.05,4,breastcan:balance:heart:liver:german:diabetes
5,k20,w,0.05,2,wisconsin:balance:liver:german:wine
5,k2x5,w,0.05,1,balance:liver:german:diabetes:yeast3
5,k2x5,w,0.05,2,heart:liver:german:diabetes:yeast3
5,k2x5,w,0.05,3,balance:heart:liver:german:diabetes
5,k2x5,w,0.05,6,balance:liver:german:diabetes:yeast3
5,k2x5,w,0.05,7,balance:heart:liver:german:diabetes
5,k2x5,w,0.05,9,breastcan:balance:liver:german:diabetes
4,k10,w,0.05,3,balance:liver:german:diabetes
4,k10,w,0.05,5,balance:heart:liver:yeast3
4,k10,w,0.05,8,wisconsin:balance:german:diabetes
4,k20,w,0.05,8,balance:heart:liver:german
4,k2x5,w,0.05,5,heart:liver:german:diabetes
4,k2x5,w,0.05,8,balance:heart:liver:diabetes
3,k10,w,0.05,6,balance:german:wine
3,k2x5,w,0.05,0,liver:german:diabetes
