n_db,cv_method,measure,p,r,dbs
6,k2x5,t,0.05,1,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,t,0.05,2,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,t,0.05,4,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,t,0.1,1,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,t,0.1,2,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,t,0.1,4,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,w,0.05,1,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,w,0.05,2,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,w,0.05,4,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,w,0.05,5,sonar:monkone:iris:monktwo:yeast3:monkthree
6,k2x5,w,0.05,9,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,w,0.1,1,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,w,0.1,2,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,w,0.1,4,sonar:monkone:hayes:iris:monktwo:yeast3
6,k2x5,w,0.1,7,sonar:monkone:hayes:iris:monktwo:yeast3
5,k2x5,t,0.05,3,sonar:monkone:hayes:monktwo:yeast3
5,k2x5,t,0.05,7,sonar:monkone:hayes:monktwo:yeast3
5,k2x5,t,0.05,8,sonar:monkone:hayes:monktwo:yeast3
5,k2x5,t,0.05,9,sonar:monkone:iris:monktwo:yeast3
5,k10,t,0.1,0,sonar:monkone:monktwo:yeast3:monkthree
5,k10,t,0.1,5,sonar:monkone:hayes:monktwo:yeast3
5,k20,t,0.1,1,ionosphere:sonar:monkone:monktwo:yeast3
5,k2x5,t,0.1,3,sonar:monkone:hayes:monktwo:yeast3
5,k2x5,t,0.1,6,sonar:monkone:iris:monktwo:yeast3
5,k2x5,t,0.1,7,sonar:monkone:hayes:monktwo:yeast3
5,k2x5,t,0.1,8,sonar:monkone:hayes:monktwo:yeast3
