Nearest Neighbors,RBF SVM,Decision Tree,Random Forest,Naive Bayes,Linear SVM
0.7222222222222222,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.4444444444444444
0.5294117647058824,0.5882352941176471,0.7058823529411765,0.7058823529411765,0.5882352941176471,0.35294117647058826
0.9411764705882353,1.0,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.5882352941176471
0.7647058823529411,0.8235294117647058,0.7058823529411765,0.8823529411764706,0.7058823529411765,0.5882352941176471
0.4375,0.6875,0.875,0.75,0.875,0.8125
0.8,0.7333333333333333,0.6666666666666666,0.8,0.6,0.6
0.6,0.6666666666666666,0.6,0.6666666666666666,0.4666666666666667,0.26666666666666666
0.6,0.6666666666666666,0.5333333333333333,0.8,0.4666666666666667,0.4666666666666667
0.6,0.6,0.6,0.5333333333333333,0.5333333333333333,0.4666666666666667
0.7333333333333333,0.8666666666666667,0.6666666666666666,0.9333333333333333,0.5333333333333333,0.6
